Distance (m),UTM 52 Lon,UTM 52 Lat,S2 Reflectance
0,507633.965814,7993879.83713,5611
23.8621087465,507617.112233,7993896.72964,5627
45.5447140744,507597.124488,7993905.13354,5689
57.6535742217,507587.121113,7993911.9568,5481
69.7624343691,507577.117738,7993918.78007,5335
80.7901698916,507566.090076,7993918.73981,5383
91.817905414,507555.062414,7993918.69955,5554
104.374048382,507543.227971,7993922.8951,5622
116.93019135,507531.393528,7993927.09066,5501
129.773915605,507521.386029,7993935.1412,5128
142.617639861,507511.37853,7993943.19174,5418
155.660629017,507499.028208,7993947.38568,5641
168.703618174,507486.677887,7993951.57962,5685
182.762745886,507474.848723,7993959.17764,5667
196.821873599,507463.019559,7993966.77566,5675
212.531876757,507450.375807,7993976.09981,5726
228.241879915,507437.732055,7993985.42396,5568
240.757442708,507425.389717,7993987.49905,5523
253.2730055,507413.047379,7993989.57414,5239
267.333043871,507399.393074,7993992.92744,4283
281.393082241,507385.738769,7993996.28075,4299
292.751110139,507374.448914,7993997.52331,4497
304.109138036,507363.159059,7993998.76588,4663
316.641576002,507350.799674,7994000.84136,4623
329.174013967,507338.440288,7994002.91683,3011
356.523796727,507318.45287,7994021.58535,864
369.970429292,507306.611841,7994027.95732,909
383.417061856,507294.770811,7994034.32928,606
395.932334468,507282.42891,7994036.40522,550
408.44760708,507270.087009,7994038.48117,549
420.020751828,507259.303201,7994042.68202,518
431.593896576,507248.519393,7994046.88287,504
443.427616066,507237.477438,7994051.13871,487
455.261335555,507226.435482,7994055.39454,481
467.251238365,507214.627059,7994057.47274,498
479.241141174,507202.818637,7994059.55095,474
497.985063603,507187.025785,7994069.64651,457
509.2700285,507175.740888,7994069.60743,474
520.554993397,507164.455991,7994069.56836,474
539.994033468,507145.017067,7994069.50124,460
558.544747589,507126.635879,7994072.00342,449
576.039744672,507109.321295,7994074.50943,469
595.398153542,507094.038979,7994086.39215,468
