Distance (m),Waterdepth (m)
0.0,1.04
19.998,1.04
39.735,1.0
59.385,1.06
84.779,1.082
107.17,1.049
130.36,1.049
154.05,1.072
178.05,1.072
202.11,1.06
249.66,1.06
274.72,1.087
300.32,1.087
326.61,1.073
350.81,1.073
372.62,1.105
393.62,1.105
419.21,1.143
443.6,1.143
464.67,1.143
484.47,1.187
528.62,1.246
548.47,1.304
568.11,1.304
598.74,1.376
618.73,1.376
638.73,1.376
673.89,1.468
693.89,1.468
713.6,1.589
733.6,1.589
753.58,1.751
771.48,1.0
791.38,1.751
808.02,1.855
827.59,1.959
847.43,1.959
867.41,2.131
887.41,2.131
908.53,2.131
928.24,1.0
948.23,2.842
968.23,1.0
987.72,3.261
1007.7,3.447
1038.0,3.888
1059.1,3.888
1080.1,4.06
1101.1,4.06
1121.2,4.06
1143.0,3.85
1165.1,3.85
1190.3,3.287
1214.1,3.287
1258.1,2.469
1312.6,2.207
1338.4,2.207
1363.1,2.207
1386.3,1.785
1410.2,1.785
1432.4,1.505
1453.1,1.588
1474.5,1.308
1497.7,1.308
1519.3,1.118
1541.6,1.118
1564.0,1.118
1587.2,1.253
1629.0,1.253
1650.2,1.419
1672.6,1.419
1695.0,1.419
1733.1,1.544
